,numCTs,unitProt,numVariantsGDA,HPOClass,type,evidenceIndexGDA,numDiseasesAssociatedToGene,geneNcbiID,numPMIDs,evidenceLevelGDA,geneEnsemblIDs,geneNcbiType,geneDSI,geneFullName,genePLI,diseaseUMLSCUI,disease,gene,numVariantsAssociatedToGene,numberPmidsWithChemsIncludedInEvidence,lastRef,numberChemsIncludedInEvidence,pathwayNames,geneDPI,pathwayIDs,numVariantsDisease,proteinClass,DOClass,diseaseClass,semanticType,numGenesDisease,firstRef,scoreGDA
,0,"B9A6J6,Q8NC59,Q6PJJ8,Q86TI0",0,Growth abnormality (01507),disease,0.875,2,23216,3,,ENSG00000065882,protein-coding,0.7,TBC1 domain family member 1,3.7433E-20,C0028754,Obesity,TBC1D1,4,0,2008,0,Vesicle-mediated transport,0.65,R-HSA-5653656,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2006,0.75
,0,"Q6FH11,P09601",0,Growth abnormality (01507),disease,1,83,3162,3,,ENSG00000100292,protein-coding,0.34,heme oxygenase 1,0.00000033466,C0028754,Obesity,HMOX1,5,0,2009,0,"Metabolism,Disease,Immune System,Transport of small molecules,Cellular responses to stimuli,Protein localization",0.96,"R-HSA-1430728,R-HSA-1643685,R-HSA-168256,R-HSA-382551,R-HSA-8953897,R-HSA-9609507",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,0.75
,0,"E9PCP0,F1T0G5,P16520",0,Growth abnormality (01507),disease,0.882352941176471,22,2784,2,,ENSG00000111664,protein-coding,0.52,G protein subunit beta 3,0.0000000037747,C0028754,Obesity,GNB3,4,0,2005,0,"Hemostasis,Neuronal System,Metabolism,Signal Transduction,Disease,Transport of small molecules,Metabolism of proteins,Sensory Perception",0.87,"R-HSA-109582,R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-392499,R-HSA-9709957",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2005,0.75
,0,"B3KY43,P31323",0,Growth abnormality (01507),disease,1,3,5577,1,,ENSG00000005249,protein-coding,0.48,protein kinase cAMP-dependent type II regulatory subunit beta,0.53961,C0028754,Obesity,PRKAR2B,6,0,2010,0,"Hemostasis,Neuronal System,Metabolism,Signal Transduction,Cell Cycle,Disease,Organelle biogenesis and maintenance,Transport of small molecules",0.91,"R-HSA-109582,R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-1852241,R-HSA-382551",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.75
,0,P01130,0,Growth abnormality (01507),disease,0.86,39,3949,1,,ENSG00000130164,protein-coding,0.41,low density lipoprotein receptor,1.1561E-30,C0028754,Obesity,LDLR,1920,0,2015,0,"Metabolism,Transport of small molecules,Vesicle-mediated transport,Sensory Perception",0.91,"R-HSA-1430728,R-HSA-382551,R-HSA-5653656,R-HSA-9709957",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2015,0.75
,0,"A0A0S2Z349,A0A0S2Z3C7,Q6P2H9,A0A8Q3SI60,P25942",0,Growth abnormality (01507),disease,1,36,958,1,,ENSG00000101017,protein-coding,0.39,CD40 molecule,0.030332,C0028754,Obesity,CD40,34,0,2018,0,Immune System,0.96,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,0.75
,0,"V9HWB4,P11021",0,Growth abnormality (01507),disease,1,12,3309,1,,ENSG00000044574,protein-coding,0.43,heat shock protein family A (Hsp70) member 5,0.97758,C0028754,Obesity,HSPA5,0,0,2016,0,"Hemostasis,Immune System,Cellular responses to stimuli",0.96,"R-HSA-109582,R-HSA-168256,R-HSA-8953897",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2016,0.75
,0,,0,Growth abnormality (01507),disease,1,9,407040,1,,ENSG00000284357,ncRNA,0.42,microRNA 34a,,C0028754,Obesity,MIR34A,0,0,2013,0,,0.91,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.75
,0,Q8TDQ7,0,Growth abnormality (01507),disease,0.903225806451613,2,132789,1,,ENSG00000163281,protein-coding,0.72,glucosamine-6-phosphate deaminase 2,0.00015196,C0028754,Obesity,GNPDA2,0,0,2009,0,Metabolism,0.44,R-HSA-1430728,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.75
,0,P25774,0,Growth abnormality (01507),disease,1,4,1520,1,,ENSG00000163131,protein-coding,0.47,cathepsin S,0.19296,C0028754,Obesity,CTSS,6,0,2011,0,"Extracellular matrix organization,Immune System",0.91,"R-HSA-1474244,R-HSA-168256",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.75
,0,P23141,0,Growth abnormality (01507),disease,0.9,14,1066,1,,ENSG00000198848,protein-coding,0.57,carboxylesterase 1,1.284E-17,C0028754,Obesity,CES1,2,0,2010,0,"Metabolism,Metabolism of proteins,Muscle contraction,Drug ADME",0.78,"R-HSA-1430728,R-HSA-392499,R-HSA-397014,R-HSA-9748784",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.75
,0,P56704,0,Growth abnormality (01507),disease,0.956521739130435,2,89780,1,,ENSG00000154342,protein-coding,0.31,Wnt family member 3A,0.0079745,C0028754,Obesity,WNT3A,4,0,2017,0,"Developmental Biology,Signal Transduction,Disease",0.96,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2017,0.75
,0,"E3UN46,P01344",0,Growth abnormality (01507),disease,0.935897435897436,44,3481,1,,ENSG00000167244,protein-coding,0.34,insulin like growth factor 2,0.9599,C0028754,Obesity,IGF2,30,0,2001,0,"Hemostasis,Signal Transduction,Metabolism of proteins",0.96,"R-HSA-109582,R-HSA-162582,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2001,0.75
,0,P34810,0,Growth abnormality (01507),disease,0.923076923076923,10,968,1,,ENSG00000129226,protein-coding,0.41,CD68 molecule,0.0000012699,C0028754,Obesity,CD68,2,0,2018,0,Immune System,0.91,R-HSA-168256,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,0.75
,1,Q16619,0,Growth abnormality (01507),disease,1,11,1489,1,,ENSG00000150281,protein-coding,0.56,cardiotrophin 1,0.000001662,C0028754,Obesity,CTF1,59,0,2011,0,Immune System,0.74,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.75
,0,P08588,0,Growth abnormality (01507),disease,0.842105263157895,25,153,1,,ENSG00000043591,protein-coding,0.49,adrenoceptor beta 1,0.1116,C0028754,Obesity,ADRB1,3,0,2002,0,Signal Transduction,0.91,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2002,0.75
,1,"P35638,Q53YD1",0,Growth abnormality (01507),disease,0.777777777777778,19,1649,1,,ENSG00000175197,protein-coding,0.43,DNA damage inducible transcript 3,0.00014788,C0028754,Obesity,DDIT3,20,0,2016,0,"Gene expression (Transcription),Cellular responses to stimuli",0.91,"R-HSA-74160,R-HSA-8953897",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2016,0.75
,0,P52789,0,Growth abnormality (01507),disease,0.875,5,3099,1,,ENSG00000159399,protein-coding,0.49,hexokinase 2,0.015191,C0028754,Obesity,HK2,0,0,2011,0,Metabolism,0.87,R-HSA-1430728,345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.75
,0,"O75469,F1D8P9",0,Growth abnormality (01507),disease,0.9,16,8856,1,,ENSG00000144852,protein-coding,0.48,nuclear receptor subfamily 1 group I member 2,1.1818E-13,C0028754,Obesity,NR1I2,4,0,2010,0,"Metabolism of proteins,Gene expression (Transcription)",0.91,"R-HSA-392499,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.75
,2,"A0A0A0MTG5,A8K673,Q5FBX5,P13232",0,Growth abnormality (01507),disease,1,11,3574,1,,ENSG00000104432,protein-coding,0.42,interleukin 7,0.48838,C0028754,Obesity,IL7,2,0,2010,0,Immune System,0.96,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.75
,0,Q15761,0,Growth abnormality (01507),disease,0.75,4,4889,1,,ENSG00000164129,protein-coding,0.65,neuropeptide Y receptor Y5,0.00000095002,C0028754,Obesity,NPY5R,2,0,2000,0,Signal Transduction,0.61,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2000,0.75
,0,"B4DHQ0,E9PIE4,Q9Y6C9",0,Growth abnormality (01507),disease,0.9,1,23788,1,,ENSG00000109919,protein-coding,0.67,mitochondrial carrier 2,0.0040824,C0028754,Obesity,MTCH2,8,0,2009,0,,0.65,,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.75
,2,"A8K257,P29466,A8K249",0,Growth abnormality (01507),disease,0.5,13,834,1,,ENSG00000137752,protein-coding,0.43,caspase 1,0.017506,C0028754,Obesity,CASP1,0,0,2012,0,"Disease,Immune System,Programmed Cell Death,Gene expression (Transcription)",0.91,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-74160",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2012,0.75
,0,P49715,0,Growth abnormality (01507),disease,0.956521739130435,17,1050,1,,ENSG00000245848,protein-coding,0.45,CCAAT enhancer binding protein alpha,0.26045,C0028754,Obesity,CEBPA,375,0,2017,0,Developmental Biology,0.91,R-HSA-1266738,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2017,0.75
,0,"P21673,A0A384NQ10",0,Growth abnormality (01507),disease,0.829787234042553,13,6303,1,,ENSG00000130066,protein-coding,0.5,spermidine/spermine N1-acetyltransferase 1,,C0028754,Obesity,SAT1,0,0,2011,0,Metabolism,0.87,R-HSA-1430728,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.75
,1,"A0A590UJL0,Q0W975,A6PYA4,P08842",0,Growth abnormality (01507),disease,0.875,13,412,1,,ENSG00000101846,protein-coding,0.45,steroid sulfatase,,C0028754,Obesity,STS,11,0,2014,0,"Metabolism,Metabolism of proteins",0.91,"R-HSA-1430728,R-HSA-392499",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2014,0.75
,0,Q96SI1,0,Growth abnormality (01507),disease,0.909090909090909,1,79047,1,,ENSG00000153885,protein-coding,0.67,potassium channel tetramerization domain containing 15,0.29883,C0028754,Obesity,KCTD15,1,0,2009,0,Gene expression (Transcription),0.61,R-HSA-74160,345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.75
,0,"O14520,Q6P5T0,Q5T5M0,B7Z4U2",0,Growth abnormality (01507),disease,0.954545454545455,2,364,1,,ENSG00000165269,protein-coding,0.64,aquaporin 7,0.00000021894,C0028754,Obesity,AQP7,2,1,2006,1,Transport of small molecules,0.61,R-HSA-382551,345,Ion channel,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2006,0.75
,0,Q01959,0,Growth abnormality (01507),disease,0.636363636363636,43,6531,0,,ENSG00000142319,protein-coding,0.43,solute carrier family 6 member 3,0.99999,C0028754,Obesity,SLC6A3,103,0,,0,"Neuronal System,Disease,Transport of small molecules",0.96,"R-HSA-112316,R-HSA-1643685,R-HSA-382551",345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,0,"Q59GX2,P11166",0,Growth abnormality (01507),disease,0.888888888888889,61,6513,0,,ENSG00000117394,protein-coding,0.38,solute carrier family 2 member 1,1,C0028754,Obesity,SLC2A1,414,0,,0,"Metabolism,Disease,Transport of small molecules",0.91,"R-HSA-1430728,R-HSA-1643685,R-HSA-382551",345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,0,"A0A0S2Z3A9,Q96RK4",0,Growth abnormality (01507),disease,1,9,585,0,,ENSG00000140463,protein-coding,0.56,Bardet-Biedl syndrome 4,6.6389E-12,C0028754,Obesity,BBS4,221,0,,0,Organelle biogenesis and maintenance,0.87,R-HSA-1852241,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,0,"P08709,F5H8B0,B4DPM2",0,Growth abnormality (01507),disease,0.833333333333333,26,2155,0,,ENSG00000057593,protein-coding,0.44,coagulation factor VII,,C0028754,Obesity,F7,132,0,,0,"Hemostasis,Metabolism of proteins,Circadian Clock",0.91,"R-HSA-109582,R-HSA-392499,R-HSA-400253",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,0,"Q8N3J6,G3XHN4",1,Growth abnormality (01507),disease,0.875,6,253559,0,,ENSG00000175161,protein-coding,0.57,cell adhesion molecule 2,0.96757,C0028754,Obesity,CADM2,140,0,,0,Cell-Cell communication,0.87,R-HSA-1500931,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,0,Q5VV42,1,Growth abnormality (01507),disease,0.9375,9,54901,0,,ENSG00000145996,protein-coding,0.59,CDK5 regulatory subunit associated protein 1 like 1,0.4808,C0028754,Obesity,CDKAL1,64,0,,0,Metabolism of RNA,0.7,R-HSA-8953854,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.75
,1,P13686,0,Growth abnormality (01507),disease,1,5,54,1,,ENSG00000102575,protein-coding,0.45,"acid phosphatase 5, tartrate resistant",0.000000085281,C0028754,Obesity,ACP5,128,0,2011,0,Metabolism,0.91,R-HSA-1430728,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.7
,0,"A8K9T3,P33121,B4E0R0,E7EPM6",0,Growth abnormality (01507),disease,0.9,5,2180,1,,ENSG00000151726,protein-coding,0.52,acyl-CoA synthetase long chain family member 1,0.045987,C0028754,Obesity,ACSL1,13,0,2011,0,Metabolism,0.87,R-HSA-1430728,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.7
,0,"A0A7P0T9P7,A0A7P0T897,Q5VVF5,P98155",0,Growth abnormality (01507),disease,0.666666666666667,14,7436,1,,ENSG00000147852,protein-coding,0.53,very low density lipoprotein receptor,5.7808E-18,C0028754,Obesity,VLDLR,113,0,2010,0,"Developmental Biology,Transport of small molecules",0.83,"R-HSA-1266738,R-HSA-382551",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.7
,0,"A0A140VK76,B3KTT6,Q16836",0,Growth abnormality (01507),disease,0.75,8,3033,1,,ENSG00000138796,protein-coding,0.52,hydroxyacyl-CoA dehydrogenase,0.0050409,C0028754,Obesity,HADH,87,0,2011,0,"Metabolism,Metabolism of proteins",0.83,"R-HSA-1430728,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.7
,0,P25929,0,Growth abnormality (01507),disease,1,15,4886,1,,ENSG00000164128,protein-coding,0.59,neuropeptide Y receptor Y1,0.50616,C0028754,Obesity,NPY1R,3,0,2010,0,Signal Transduction,0.74,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.7
,0,"A0A1W2PQU4,S4R453,A0A1W2PR56,A0A1W2PPY5,A0A1W2PQK5,Q59FH2,Q5SVJ7,A0A1W2PRN5,A0A1W2PP94,D5MRH1,A0A087WZL8,A0A1W2PR62,B7ZMF5,Q12791",1,Growth abnormality (01507),disease,1,24,3778,1,,ENSG00000156113,protein-coding,0.49,potassium calcium-activated channel subfamily M alpha 1,1,C0028754,Obesity,KCNMA1,361,1,2016,1,"Hemostasis,Neuronal System,Sensory Perception",0.91,"R-HSA-109582,R-HSA-112316,R-HSA-9709957",345,Ion channel,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2016,0.7
,0,P09067,1,Growth abnormality (01507),disease,1,1,3215,1,,ENSG00000120075,protein-coding,0.61,homeobox B5,0.036648,C0028754,Obesity,HOXB5,2,0,2012,0,,0.65,,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2012,0.7
,0,Q02577,0,Growth abnormality (01507),disease,0.9,16,4808,1,,ENSG00000177551,protein-coding,0.52,nescient helix-loop-helix 2,0.0018952,C0028754,Obesity,NHLH2,4,0,2010,0,,0.91,,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.7
,0,O15118,1,Growth abnormality (01507),disease,1,34,4864,1,,ENSG00000141458,protein-coding,0.53,NPC intracellular cholesterol transporter 1,5.6981E-11,C0028754,Obesity,NPC1,714,0,2009,0,Transport of small molecules,0.91,R-HSA-382551,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.7
,0,P11226,0,Growth abnormality (01507),disease,0.857142857142857,84,4153,0,,ENSG00000165471,protein-coding,0.39,mannose binding lectin 2,0.027157,C0028754,Obesity,MBL2,77,0,,0,"Disease,Immune System",0.91,"R-HSA-1643685,R-HSA-168256",345,Receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,O15357,0,Growth abnormality (01507),disease,1,6,3636,0,,ENSG00000165458,protein-coding,0.56,inositol polyphosphate phosphatase like 1,8.0654E-19,C0028754,Obesity,INPPL1,32,0,,0,"Metabolism,Immune System",0.83,"R-HSA-1430728,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"P55055,F1D8P7",0,Growth abnormality (01507),disease,0.75,5,7376,0,,ENSG00000131408,protein-coding,0.49,nuclear receptor subfamily 1 group H member 2,0.00000017055,C0028754,Obesity,NR1H2,1,0,,0,"Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Gene expression (Transcription)",0.87,"R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,P08949,0,Growth abnormality (01507),disease,1,2,4828,0,,ENSG00000197696,protein-coding,0.65,neuromedin B,0.000032655,C0028754,Obesity,NMB,1,0,,0,Signal Transduction,0.65,R-HSA-162582,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,P11802,0,Growth abnormality (01507),disease,1,34,1019,0,,ENSG00000135446,protein-coding,0.38,cyclin dependent kinase 4,0.5637,C0028754,Obesity,CDK4,339,0,,0,"Developmental Biology,Reproduction,Signal Transduction,Cell Cycle,Disease,Chromatin organization,Gene expression (Transcription),Cellular responses to stimuli",0.91,"R-HSA-1266738,R-HSA-1474165,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-4839726,R-HSA-74160,R-HSA-8953897",345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"Q59EE8,Q9Y6Q9",0,Growth abnormality (01507),disease,0.666666666666667,12,8202,0,,ENSG00000124151,protein-coding,0.53,nuclear receptor coactivator 3,1,C0028754,Obesity,NCOA3,3,0,,0,"Developmental Biology,Metabolism,Signal Transduction",0.74,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582",345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,Q6VVX0,0,Growth abnormality (01507),disease,1,17,120227,0,,ENSG00000186104,protein-coding,0.54,cytochrome P450 family 2 subfamily R member 1,2.4652E-12,C0028754,Obesity,CYP2R1,22,0,,0,"Metabolism,Disease",0.87,"R-HSA-1430728,R-HSA-1643685",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,O75056,0,Growth abnormality (01507),disease,1,2,9672,0,,ENSG00000162512,protein-coding,0.64,syndecan 3,0.26804,C0028754,Obesity,SDC3,4,0,,0,"Hemostasis,Metabolism,Extracellular matrix organization,Disease,Sensory Perception",0.61,"R-HSA-109582,R-HSA-1430728,R-HSA-1474244,R-HSA-1643685,R-HSA-9709957",345,Extracellular structure,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,O00744,0,Growth abnormality (01507),disease,0.9,9,7480,0,,ENSG00000169884,protein-coding,0.54,Wnt family member 10B,0.000000081161,C0028754,Obesity,WNT10B,27,0,,0,"Developmental Biology,Signal Transduction",0.83,"R-HSA-1266738,R-HSA-162582",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"Q59HC6,F8WE91,Q9Y6K1,A0A0C4DG02",1,Growth abnormality (01507),disease,1,56,1788,0,,ENSG00000119772,protein-coding,0.4,DNA methyltransferase 3 alpha,2.8201E-146,C0028754,Obesity,DNMT3A,142,0,,0,"Disease,Metabolism of proteins,Chromatin organization,Gene expression (Transcription)",0.96,"R-HSA-1643685,R-HSA-392499,R-HSA-4839726,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"Q9UN76,B2R8J1",0,Growth abnormality (01507),disease,0.8,4,11254,0,,ENSG00000268104,protein-coding,0.59,solute carrier family 6 member 14,,C0028754,Obesity,SLC6A14,1,0,,0,"Disease,Transport of small molecules",0.7,"R-HSA-1643685,R-HSA-382551",345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"A8K5I0,P0DMV9,P0DMV8",0,Growth abnormality (01507),disease,1,26,3304,0,,ENSG00000204388,protein-coding,0.48,heat shock protein family A (Hsp70) member 1B,0.0074976,C0028754,Obesity,HSPA1B,3,0,,0,"Disease,Immune System,Metabolism of RNA,Cellular responses to stimuli",0.91,"R-HSA-1643685,R-HSA-168256,R-HSA-8953854,R-HSA-8953897",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,P05090,0,Growth abnormality (01507),disease,1,11,347,0,,ENSG00000189058,protein-coding,0.51,apolipoprotein D,0.00000002698,C0028754,Obesity,APOD,1,0,,0,"Signal Transduction,Transport of small molecules",0.78,"R-HSA-162582,R-HSA-382551",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,P32238,0,Growth abnormality (01507),disease,1,10,886,0,,ENSG00000163394,protein-coding,0.57,cholecystokinin A receptor,0.0000047524,C0028754,Obesity,CCKAR,2,0,,0,Signal Transduction,0.83,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"Q86WB6,A0A0B4J202,P48645,E9PDJ7,A0A250SH36",0,Growth abnormality (01507),disease,1,1,10874,0,,ENSG00000109255,protein-coding,0.58,neuromedin U,0.1017,C0028754,Obesity,NMU,2,0,,0,Signal Transduction,0.87,R-HSA-162582,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,"G3CIS4,B3TIK8,K9J956,P34998,B3SXS2",0,Growth abnormality (01507),disease,0.666666666666667,24,1394,0,,ENSG00000120088,protein-coding,0.51,corticotropin releasing hormone receptor 1,0.0041282,C0028754,Obesity,CRHR1,13,0,,0,Signal Transduction,0.96,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
,0,P49238,0,Growth abnormality (01507),disease,0.833333333333333,17,1524,0,,ENSG00000168329,protein-coding,0.44,C-X3-C motif chemokine receptor 1,0.53262,C0028754,Obesity,CX3CR1,4,0,,0,"Signal Transduction,Disease",0.91,"R-HSA-162582,R-HSA-1643685",345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.7
