Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR4520-1","MicroRNA 4520-1","RNA Gene","","12","GC17M006655","0.614656925201416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4520-1"
"PTK2B","Protein Tyrosine Kinase 2 Beta","Protein Coding","Q14289","62","GC08P027311","0.613482475280762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2B"
"MIR550A1","MicroRNA 550a-1","RNA Gene","","26","GC07P030289","0.613482475280762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR550A1"
"ZDHHC15","Zinc Finger DHHC-Type Palmitoyltransferase 15","Protein Coding","Q96MV8","51","GC0XM075368","0.607236742973328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC15"
"EPHB4","EPH Receptor B4","Protein Coding","P54760","66","GC07M106119","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB4"
"CTTN","Cortactin","Protein Coding","Q14247","56","GC11P070398","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTTN"
"AKR1B10","Aldo-Keto Reductase Family 1 Member B10","Protein Coding","O60218","55","GC07P134527","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B10"
"DEK","DEK Proto-Oncogene","Protein Coding","P35659","54","GC06M018224","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEK"
"HPX","Hemopexin","Protein Coding","P02790","54","GC11M013508","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPX"
"EIF6","Eukaryotic Translation Initiation Factor 6","Protein Coding","P56537","52","GC20M035278","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF6"
"GRHL2","Grainyhead Like Transcription Factor 2","Protein Coding","Q6ISB3","52","GC08P101492","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHL2"
"NUP160","Nucleoporin 160","Protein Coding","Q12769","52","GC11M132481","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP160"
"FCRL5","Fc Receptor Like 5","Protein Coding","Q96RD9","50","GC01M165238","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL5"
"PSMD10","Proteasome 26S Subunit, Non-ATPase 10","Protein Coding","O75832","50","GC0XM108084","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD10"
"HDGFL2","HDGF Like 2","Protein Coding","Q7Z4V5","46","GC19P131984","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDGFL2"
"MIR619","MicroRNA 619","RNA Gene","","24","GC12M108836","0.604460835456848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR619"
"CYP2J2","Cytochrome P450 Family 2 Subfamily J Member 2","Protein Coding","P51589","54","GC01M059893","0.599762737751007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2J2"
"MARCHF6","Membrane Associated Ring-CH-Type Finger 6","Protein Coding","O60337","47","GC05P011008","0.599762737751007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCHF6"
"C1QTNF2","C1q And TNF Related 2","Protein Coding","Q9BXJ5","43","GC05M160347","0.599762737751007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QTNF2"
"BECN2","Beclin 2","Protein Coding","A8MW95","34","GC01P241957","0.599762737751007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN2"
"OSTN","Osteocrin","Protein Coding","P61366","41","GC03P191199","0.598976969718933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSTN"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","56","GC16M023603","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","P78549","55","GC16M026904","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1"
"RAD51C","RAD51 Paralog C","Protein Coding","O43502","55","GC17P058692","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"RAD51D","RAD51 Paralog D","Protein Coding","O75771","52","GC17M035092","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D"
"RS1","Retinoschisin 1","Protein Coding","O15537","52","GC0XM018639","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RS1"
"GPR179","G Protein-Coupled Receptor 179","Protein Coding","Q6PRD1","45","GC17M089196","0.597439885139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR179"
"CCL8","C-C Motif Chemokine Ligand 8","Protein Coding","P80075","51","GC17P034319","0.595562696456909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL8"
"EFR3B","EFR3 Homolog B","Protein Coding","Q9Y2G0","43","GC02P025042","0.595562696456909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFR3B"
"QRFP","Pyroglutamylated RFamide Peptide","Protein Coding","P83859","37","GC09M130892","0.595562696456909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QRFP"
"FAN1","FANCD2 And FANCI Associated Nuclease 1","Protein Coding","Q9Y2M0","51","GC15P174804","0.593551754951477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAN1"
"NFKB2","Nuclear Factor Kappa B Subunit 2","Protein Coding","Q00653","65","GC10P102394","0.593373417854309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB2"
"ROCK1","Rho Associated Coiled-Coil Containing Protein Kinase 1","Protein Coding","Q13464","62","GC18M036048","0.593373417854309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK1"
"ACVR2A","Activin A Receptor Type 2A","Protein Coding","P27037","58","GC02P147844","0.593373417854309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2A"
"CBR3","Carbonyl Reductase 3","Protein Coding","O75828","50","GC21P036775","0.593373417854309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBR3"
"LMNB1","Lamin B1","Protein Coding","P20700","59","GC05P126776","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNB1"
"DYSF","Dysferlin","Protein Coding","O75923","55","GC02P071453","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYSF"
"MSH3","MutS Homolog 3","Protein Coding","P20585","55","GC05P080654","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"SF3B4","Splicing Factor 3b Subunit 4","Protein Coding","Q15427","55","GC01M149923","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B4"
"TERF2","Telomeric Repeat Binding Factor 2","Protein Coding","Q15554","55","GC16M069355","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2"
"CXXC1","CXXC Finger Protein 1","Protein Coding","Q9P0U4","52","GC18M050282","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXXC1"
"USP9Y","Ubiquitin Specific Peptidase 9 Y-Linked","Protein Coding","O00507","51","GC0YP012569","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP9Y"
"ASPM","Assembly Factor For Spindle Microtubules","Protein Coding","Q8IZT6","50","GC01M197084","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPM"
"SETD5","SET Domain Containing 5","Protein Coding","Q9C0A6","50","GC03P024140","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD5"
"SNU13","Small Nuclear Ribonucleoprotein 13","Protein Coding","P55769","50","GC22M081597","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNU13"
"SYNE4","Spectrin Repeat Containing Nuclear Envelope Family Member 4","Protein Coding","Q8N205","41","GC19M036003","0.592700600624084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNE4"
"APBB1","Amyloid Beta Precursor Protein Binding Family B Member 1","Protein Coding","O00213","56","GC11M013505","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB1"
"LRP4","LDL Receptor Related Protein 4","Protein Coding","O75096","56","GC11M132457","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP4"
"MAPRE1","Microtubule Associated Protein RP/EB Family Member 1","Protein Coding","Q15691","55","GC20P032819","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPRE1"
"GPM6A","Glycoprotein M6A","Protein Coding","P51674","51","GC04M175632","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPM6A"
"SNRNP70","Small Nuclear Ribonucleoprotein U1 Subunit 70","Protein Coding","P08621","51","GC19P049085","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP70"
"CD101","CD101 Molecule","Protein Coding","Q93033","49","GC01P117001","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD101"
"APBB3","Amyloid Beta Precursor Protein Binding Family B Member 3","Protein Coding","O95704","48","GC05M140558","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB3"
"RIC8B","RIC8 Guanine Nucleotide Exchange Factor B","Protein Coding","Q9NVN3","46","GC12P106774","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIC8B"
"NAPG","NSF Attachment Protein Gamma","Protein Coding","Q99747","45","GC18P010516","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPG"
"PSME3IP1","Proteasome Activator Subunit 3 Interacting Protein 1","Protein Coding","Q9GZU8","40","GC16M057155","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME3IP1"
"HLA-DRB4","Major Histocompatibility Complex, Class II, DR Beta 4","Protein Coding","P13762","39","GC06Mo03851","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB4"
"MIR4668","MicroRNA 4668","RNA Gene","","19","GC09P111932","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4668"
"IGES","Immunoglobulin E Concentration, Serum","Genetic Locus","","11","GC05U990033","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGES"
"LOC111589215","BRCA1 Promoter Region","Functional Element","","9","GC17P135608","0.592633605003357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111589215"
"NCL","Nucleolin","Protein Coding","P19338","56","GC02M231453","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCL"
"ATXN7","Ataxin 7","Protein Coding","O15265","54","GC03P063892","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7"
"SGCA","Sarcoglycan Alpha","Protein Coding","Q16586","54","GC17P050164","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCA"
"CYB5R1","Cytochrome B5 Reductase 1","Protein Coding","Q9UHQ9","52","GC01M202964","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R1"
"SGCB","Sarcoglycan Beta","Protein Coding","Q16585","52","GC04M052019","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCB"
"DIRAS3","DIRAS Family GTPase 3","Protein Coding","O95661","41","GC01M068045","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIRAS3"
"COPG2IT1","COPG2 Imprinted Transcript 1","RNA Gene","","18","GC07P138859","0.588462948799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPG2IT1"
"IL12B","Interleukin 12B","Protein Coding","P29460","57","GC05M159314","0.587663173675537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"CRTAC1","Cartilage Acidic Protein 1","Protein Coding","Q9NQ79","47","GC10M097865","0.587663173675537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTAC1"
"BCOR","BCL6 Corepressor","Protein Coding","Q6W2J9","55","GC0XM040049","0.583181738853455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCOR"
"CSF1R","Colony Stimulating Factor 1 Receptor","Protein Coding","P07333","65","GC05M150053","0.57972639799118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R"
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","Q07820","61","GC01M164881","0.57972639799118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"CD86","CD86 Molecule","Protein Coding","P42081","56","GC03P122055","0.57972639799118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD86"
"DUSP2","Dual Specificity Phosphatase 2","Protein Coding","Q05923","52","GC02M101666","0.57972639799118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP2"
"RRAD","RRAD, Ras Related Glycolysis Inhibitor And Calcium Channel Regulator","Protein Coding","P55042","48","GC16M067625","0.57972639799118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAD"
"MELTF-AS1","MELTF Antisense RNA 1","RNA Gene","","22","GC03P199741","0.575920701026917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MELTF-AS1"
"MAPK13","Mitogen-Activated Protein Kinase 13","Protein Coding","O15264","59","GC06P156438","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13"
"PTGS1","Prostaglandin-Endoperoxide Synthase 1","Protein Coding","P23219","59","GC09P122370","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1"
"TAP2","Transporter 2, ATP Binding Cassette Subfamily B Member","Protein Coding","Q03519","56","GC06M032821","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAP2"
"CDH12","Cadherin 12","Protein Coding","P55289","52","GC05M021750","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH12"
"COLGALT1","Collagen Beta(1-O)Galactosyltransferase 1","Protein Coding","Q8NBJ5","52","GC19P017555","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLGALT1"
"NFE2L1","NFE2 Like BZIP Transcription Factor 1","Protein Coding","Q14494","50","GC17P134014","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L1"
"APMAP","Adipocyte Plasma Membrane Associated Protein","Protein Coding","Q9HDC9","45","GC20M024962","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APMAP"
"SDF2","Stromal Cell Derived Factor 2","Protein Coding","Q99470","44","GC17M088843","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDF2"
"ZNF169","Zinc Finger Protein 169","Protein Coding","Q14929","44","GC09P094259","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF169"
"TMEM86A","Transmembrane Protein 86A","Protein Coding","Q8N2M4","38","GC11P018693","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM86A"
"ADISSP","Adipose Secreted Signaling Protein","Protein Coding","Q9GZN8","37","GC20M004257","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADISSP"
"OVCH2","Ovochymase 2","Protein Coding","Q7RTZ1","36","GC11M007678","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVCH2"
"PARAL1","PPARG Activating RBM14 Associated LncRNA 1","RNA Gene","","12","GC20P009960","0.575048446655273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARAL1"
"LINCADL","LincRNA Adipogenesis And Lipogenesis Associated","RNA Gene","","11","GC05P115956","0.572248160839081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINCADL"
"ACVR1B","Activin A Receptor Type 1B","Protein Coding","P36896","59","GC12P051951","0.571755349636078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1B"
"DOT1L","DOT1 Like Histone Lysine Methyltransferase","Protein Coding","Q8TEK3","56","GC19P131892","0.571755349636078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOT1L"
"ERFE","Erythroferrone","Protein Coding","Q4G0M1","45","GC02P238159","0.571755349636078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERFE"
"TMEM120A","Transmembrane Protein 120A","Protein Coding","Q9BXJ8","38","GC07M075986","0.571755349636078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM120A"
"ADTRP","Androgen Dependent TFPI Regulating Protein","Protein Coding","Q96IZ2","37","GC06M011712","0.571755349636078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADTRP"
"RUNX3","RUNX Family Transcription Factor 3","Protein Coding","Q13761","55","GC01M024899","0.569042861461639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX3"
"NGFR","Nerve Growth Factor Receptor","Protein Coding","P08138","60","GC17P049495","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR"
"CYB5B","Cytochrome B5 Type B","Protein Coding","O43169","53","GC16P106028","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5B"
"KMT2B","Lysine Methyltransferase 2B","Protein Coding","Q9UMN6","51","GC19P132926","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2B"
"IER3","Immediate Early Response 3","Protein Coding","P46695","50","GC06M030743","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IER3"
"UTY","Ubiquitously Transcribed Tetratricopeptide Repeat Containing, Y-Linked","Protein Coding","O14607","43","GC0YM013231","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTY"
"HES3","Hes Family BHLH Transcription Factor 3","Protein Coding","Q5TGS1","37","GC01P006244","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES3"
"CASC8","Cancer Susceptibility 8","RNA Gene","","24","GC08M136757","0.567773997783661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC8"
"USP18","Ubiquitin Specific Peptidase 18","Protein Coding","Q9UMW8","52","GC22P018149","0.566923201084137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP18"
"PTCHD1-AS","PTCHD1 Antisense RNA (Head To Head)","RNA Gene","","22","GC0XM022191","0.566923201084137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1-AS"
"GPC4","Glypican 4","Protein Coding","O75487","56","GC0XM133300","0.56452077627182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPC4"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","Q00604","54","GC0XM043948","0.562048852443695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","Q9BSI4","54","GC14M027974","0.562048852443695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"FANCB","FA Complementation Group B","Protein Coding","Q8NB91","52","GC0XM015698","0.562048852443695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCB"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","Q03167","59","GC01M091680","0.56098473072052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3"
"TNS2","Tensin 2","Protein Coding","Q63HR2","48","GC12P053046","0.56098473072052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS2"
"GRK2","G Protein-Coupled Receptor Kinase 2","Protein Coding","P25098","61","GC11P067266","0.556115031242371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK2"
"PANX1","Pannexin 1","Protein Coding","Q96RD7","58","GC11P094128","0.556115031242371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","Q13164","60","GC17P133054","0.552740573883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"CAP1","Cyclase Associated Actin Cytoskeleton Regulatory Protein 1","Protein Coding","Q01518","51","GC01P062028","0.552740573883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAP1"
"AMY1C","Amylase Alpha 1C","Protein Coding","P0DTE8","38","GC01P103745","0.552740573883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1C"
"TMEM160","Transmembrane Protein 160","Protein Coding","Q9NX00","35","GC19M047045","0.552740573883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM160"
"CNTN2","Contactin 2","Protein Coding","Q02246","58","GC01P205043","0.55124568939209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN2"
"MDH1","Malate Dehydrogenase 1","Protein Coding","P40925","56","GC02P063557","0.55124568939209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH1"
"DCTN2","Dynactin Subunit 2","Protein Coding","Q13561","52","GC12M059915","0.55124568939209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN2"
"OIP5-AS1","OIP5 Antisense RNA 1","RNA Gene","","26","GC15P175121","0.55124568939209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OIP5-AS1"
"AKR1A1","Aldo-Keto Reductase Family 1 Member A1","Protein Coding","P14550","56","GC01P045550","0.55090469121933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1A1"
"NMS","Neuromedin S","Protein Coding","Q5H8A3","42","GC02P100453","0.55090469121933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMS"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6","Protein Coding","P10635","60","GC22M042126","0.54871541261673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"MIR382","MicroRNA 382","RNA Gene","","26","GC14P119068","0.54871541261673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR382"
"KCNQ2","Potassium Voltage-Gated Channel Subfamily Q Member 2","Protein Coding","O43526","60","GC20M063400","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2"
"GRM5","Glutamate Metabotropic Receptor 5","Protein Coding","P41594","59","GC11M088504","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM5"
"KIF5A","Kinesin Family Member 5A","Protein Coding","Q12840","57","GC12P065445","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF5A"
"RBBP8","RB Binding Protein 8, Endonuclease","Protein Coding","Q99708","56","GC18P022798","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP8"
"SEMA3E","Semaphorin 3E","Protein Coding","O15041","56","GC07M083363","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3E"
"UNC13D","Unc-13 Homolog D","Protein Coding","Q70J99","56","GC17M075827","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC13D"
"ATRIP","ATR Interacting Protein","Protein Coding","Q8WXE1","55","GC03P061480","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRIP"
"BCL11B","BCL11 Transcription Factor B","Protein Coding","Q9C0K0","55","GC14M099169","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL11B"
"CALB1","Calbindin 1","Protein Coding","P05937","55","GC08M090058","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB1"
"SRGAP1","SLIT-ROBO Rho GTPase Activating Protein 1","Protein Coding","Q7Z6B7","55","GC12P066001","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRGAP1"
"HOMER1","Homer Scaffold Protein 1","Protein Coding","Q86YM7","54","GC05M079372","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOMER1"
"NHEJ1","Non-Homologous End Joining Factor 1","Protein Coding","Q9H9Q4","54","GC02M219180","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHEJ1"
"PIWIL1","Piwi Like RNA-Mediated Gene Silencing 1","Protein Coding","Q96J94","54","GC12P130337","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL1"
"RNF8","Ring Finger Protein 8","Protein Coding","O76064","54","GC06P156459","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF8"
"SLC17A7","Solute Carrier Family 17 Member 7","Protein Coding","Q9P2U7","54","GC19M049429","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A7"
"CDK5RAP2","CDK5 Regulatory Subunit Associated Protein 2","Protein Coding","Q96SN8","52","GC09M120388","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP2"
"CLTCL1","Clathrin Heavy Chain Like 1","Protein Coding","P53675","52","GC22M020415","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTCL1"
"GABRR2","Gamma-Aminobutyric Acid Type A Receptor Subunit Rho2","Protein Coding","P28476","52","GC06M101136","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRR2"
"SYN2","Synapsin II","Protein Coding","Q92777","52","GC03P024244","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYN2"
"GBX2","Gastrulation Brain Homeobox 2","Protein Coding","P52951","51","GC02M236165","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBX2"
"TOP3B","DNA Topoisomerase III Beta","Protein Coding","O95985","51","GC22M021957","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP3B"
"WDR62","WD Repeat Domain 62","Protein Coding","O43379","51","GC19P036054","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR62"
"NIPAL4","NIPA Like Domain Containing 4","Protein Coding","Q0D2K0","50","GC05P157460","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPAL4"
"DLGAP3","DLG Associated Protein 3","Protein Coding","O95886","49","GC01M034865","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP3"
"KLHL22","Kelch Like Family Member 22","Protein Coding","Q53GT1","49","GC22M020451","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL22"
"NLGN4Y","Neuroligin 4 Y-Linked","Protein Coding","Q8NFZ3","49","GC0YP014522","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN4Y"
"PLB1","Phospholipase B1","Protein Coding","Q6P1J6","47","GC02P029090","0.541059136390686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLB1"
"GRIA3","Glutamate Ionotropic Receptor AMPA Type Subunit 3","Protein Coding","P42263","62","GC0XP123184","0.539886116981506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIA3"
"L1CAM","L1 Cell Adhesion Molecule","Protein Coding","P32004","60","GC0XM153864","0.539886116981506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=L1CAM"
"TBL1XR1","TBL1X/Y Related 1","Protein Coding","Q9BZK7","58","GC03M177019","0.539886116981506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL1XR1"
"PAEP","Progestagen Associated Endometrial Protein","Protein Coding","P09466","52","GC09P135561","0.539886116981506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAEP"
"NHS","NHS Actin Remodeling Regulator","Protein Coding","Q6T4R5","49","GC0XP017421","0.539886116981506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NHS"
"PHLPP2","PH Domain And Leucine Rich Repeat Protein Phosphatase 2","Protein Coding","Q6ZVD8","48","GC16M071637","0.539152979850769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP2"
"MIR196B","MicroRNA 196b","RNA Gene","","30","GC07M028101","0.539152979850769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR196B"
"KLK1","Kallikrein 1","Protein Coding","P06870","60","GC19M050819","0.538533449172974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK1"
